ID du problème,Description,État,Gravité,Estimation en points (story point),Chemin d’accès du projet,Genre d’emplacement,Chemin,Ligne,Colonne,ID d‘incident,Lien d'aide,Nom de l'assembly,Version de l'assembly,Clé publique d’assemblée,Extrait
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,512,12,P:System.Windows.Forms.Control.Location,,,,,"this.chkMigrateDocuments.Location = new Point(startX, 25);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,509,12,T:System.Drawing.FontStyle,,,,,"this.groupBoxMigrationOptions.Font = new Font(""Segoe UI"", 9F, FontStyle.Bold);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,509,12,T:System.Drawing.FontStyle,,,,,"this.groupBoxMigrationOptions.Font = new Font(""Segoe UI"", 9F, FontStyle.Bold);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,509,12,F:System.Drawing.FontStyle.Bold,,,,,"this.groupBoxMigrationOptions.Font = new Font(""Segoe UI"", 9F, FontStyle.Bold);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,509,12,T:System.Drawing.Font,,,,,"this.groupBoxMigrationOptions.Font = new Font(""Segoe UI"", 9F, FontStyle.Bold);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,509,12,"M:System.Drawing.Font.#ctor(System.String,System.Single,System.Drawing.FontStyle)",,,,,"this.groupBoxMigrationOptions.Font = new Font(""Segoe UI"", 9F, FontStyle.Bold);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,509,12,T:System.Windows.Forms.GroupBox,,,,,"this.groupBoxMigrationOptions.Font = new Font(""Segoe UI"", 9F, FontStyle.Bold);"
Api.0002,Source incompatible avec la version .NET sélectionnée,Active,Potential,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,509,12,T:System.Drawing.Font,,,,,"this.groupBoxMigrationOptions.Font = new Font(""Segoe UI"", 9F, FontStyle.Bold);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,509,12,P:System.Windows.Forms.Control.Font,,,,,"this.groupBoxMigrationOptions.Font = new Font(""Segoe UI"", 9F, FontStyle.Bold);"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,508,12,T:System.Windows.Forms.GroupBox,,,,,"this.groupBoxMigrationOptions.Text = ""Éléments à migrer"";"
Api.0001,Binaire incompatible avec la version .NET sélectionnée,Active,Mandatory,1,SaveRestoreGUI.csproj,File,MainForm.Designer.cs,508,12,P:System.Windows.Forms.GroupBox.Text,,,,,"this.groupBoxMigrationOptions.Text = ""Éléments à migrer"";"
